K,Silhouette,Calinski-Harabasz,Davies-Bouldin,Inertia
2,0.3433822406907781,267.6917158605383,1.3205098372342037,11595.526607115786
3,0.3143840098608098,197.11400022776706,1.529388376780795,10061.797818243696
4,0.1603193459664846,156.02368607480278,1.8681946788883226,9335.805047695925
5,0.14671455188004592,135.29605166507437,1.7294749988679938,8711.199401856109
6,0.12904883037059978,118.80918338131694,1.7391198653827498,8305.988431032947
7,0.13905516819924285,112.64185896115893,1.6351808642148788,7749.99479606747
8,0.14833357484588244,109.47899054584215,1.5738325508001423,7214.561972175641
9,0.14626407946728232,96.46783122396337,1.46010527888062,7177.963401183495
10,0.14202135455254952,91.51494108849067,1.5417282899975644,6901.411912148421
